No,Arab,Buckwalter,Awalan,Akhiran,Pola,Root,Wazan,Dhomir,Fiil,Pola Wazan,Keterangan
1,رَزَقْ,razaqo,,,|aao|,rzq,null,null,null,au,passive
2,ٱعْبُدُوا@,{EobuduwA@,,وا@,|Ebd|wA@,{ou,null,null,null,au,tidak passive
3,تُرْجَعُونَ,turojaEuwna,,ونَ,|uoa|wna,trj,null,null,null,au,passive
4,ٱسْجُدُوا@,{sojuduwA@,,وا@,|sjd|wA@,{ou,null,null,null,au,tidak passive
5,سَجَدُ,sajadu,,,|aau|,sjd,null,null,null,au,passive
6,ٱسْكُنْ,{sokuno,,,|skn|,{ou,null,null,null,au,tidak passive
7,ٱذْكُرُوا@,{*okuruwA@,,وا@,|*kr|wA@,{ou,null,null,null,au,tidak passive
8,ٱذْكُرُوا@,{*okuruwA@,,وا@,|*kr|wA@,{ou,null,null,null,au,tidak passive
9,يُنصَرُونَ,yunSaruwna,,ونَ,|uSr|wna,yna,null,null,null,au,passive
10,ٱقْتُلُ,{qotulu,,,|qtl|,{ou,null,null,null,au,tidak passive
11,بَعَثْ,baEavo,,,|aao|,bEv,null,null,null,au,passive
12,رَزَقْ,razaqo,,,|aao|,rzq,null,null,null,au,passive
13,ظَلَمُ,Zalamu,,,|aau|,Zlm,null,null,null,au,passive
14,ٱدْخُلُوا@,{doxuluwA@,,وا@,|dxl|wA@,{ou,null,null,null,au,tidak passive
15,ٱدْخُلُوا@,{doxuluwA@,,وا@,|dxl|wA@,{ou,null,null,null,au,tidak passive
16,ٱضْرِب,{Dorib,,,|Drb|,{oi,null,null,null,au,tidak passive
17,ٱشْرَبُوا@,{$orabuwA@,,وا@,|$rb|wA@,{oa,null,null,null,au,tidak passive
18,ٱذْكُرُوا@,{*okuruwA@,,وا@,|*kr|wA@,{ou,null,null,null,au,tidak passive
19,عَلِمْ,Ealimo,,,|aio|,Elm,null,null,null,au,passive
20,جَعَلْ,jaEalo,,,|aao|,jEl,null,null,null,au,passive
21,ٱفْعَلُوا@,{foEaluwA@,,وا@,|fEl|wA@,{oa,null,null,null,au,tidak passive
22,ذَبَحُ,*abaHu,,,|aau|,*bH,null,null,null,au,passive
23,ٱضْرِبُ,{Doribu,,,|Drb|,{oi,null,null,null,au,tidak passive
24,عَقَلُ,Eaqalu,,,|aau|,Eql,null,null,null,au,passive
25,يُنصَرُونَ,yunSaruwna,,ونَ,|uSr|wna,yna,null,null,null,au,passive
26,ٱسْمَعُوا@,{somaEuwA@,,وا@,|smE|wA@,{oa,null,null,null,au,tidak passive
27,ٱسْمَعُوا@,{somaEuwA@,,وا@,|smE|wA@,{oa,null,null,null,au,tidak passive
28,ٱذْكُرُوا@,{*okuruwA@,,وا@,|*kr|wA@,{ou,null,null,null,au,tidak passive
29,تَنفَعُ,tanfaEu,تَ,,ta|null|,null,null,null,null,au,tidak passive
30,يُنصَرُونَ,yunSaruwna,,ونَ,|uSr|wna,yna,null,null,null,au,passive
31,عَهِدْ,Eahido,,,|aio|,Ehd,null,null,null,au,passive
32,ٱجْعَلْ,{joEalo,,,|jEl|,{oa,null,null,null,au,tidak passive
33,ٱرْزُقْ,{rozuqo,,,|rzq|,{ou,null,null,null,au,tidak passive
34,ٱجْعَلْنَا,{joEalonaA,,نَا,|jEl|naA,{oa,null,null,null,au,tidak passive
35,ٱبْعَثْ,{boEavo,,,|bEv|,{oa,null,null,null,au,tidak passive
36,جَعَلْ,jaEalo,,,|aao|,jEl,null,null,null,au,passive
37,نَعْلَمَ,naEolama,نَ,,na|oaa|,Elm,null,null,null,au,passive
38,تَبِعُوا@,tabiEuwA@,تَ,وا@,ta|null|wA@,null,null,null,null,au,tidak passive
39,ٱذْكُرُ,{*okuru,,,|*kr|,{ou,null,null,null,au,tidak passive
40,أَذْكُرْ,>a*okuro,أَ,,>a|ouo|,*kr,null,null,null,au,passive
41,ٱشْكُرُوا@,{$okuruwA@,,وا@,|$kr|wA@,{ou,null,null,null,au,tidak passive
42,ظَلَمُ,Zalamu,,,|aau|,Zlm,null,null,null,au,passive
43,رَزَقْ,razaqo,,,|aao|,rzq,null,null,null,au,passive
44,ٱشْكُرُوا@,{$okuruwA@,,وا@,|$kr|wA@,{ou,null,null,null,au,tidak passive
45,أَصْبَرَ,>aSobara,أَ,,>a|oaa|,Sbr,null,null,null,au,passive
46,ٱشْرَبُوا@,{$orabuwA@,,وا@,|$rb|wA@,{oa,null,null,null,au,tidak passive
47,ٱقْتُلُ,{qotulu,,,|qtl|,{ou,null,null,null,au,tidak passive
48,ثَقِفْ,vaqifo,,,|aio|,vqf,null,null,null,au,passive
49,ٱقْتُلُ,{qotulu,,,|qtl|,{ou,null,null,null,au,tidak passive
50,ٱعْلَمُ,{Eolamu,,,|Elm|,{oa,null,null,null,au,tidak passive
51,ٱعْلَمُ,{Eolamu,,,|Elm|,{oa,null,null,null,au,tidak passive
52,ٱذْكُرُوا@,{*okuruwA@,,وا@,|*kr|wA@,{ou,null,null,null,au,tidak passive
53,ٱذْكُرُ,{*okuru,,,|*kr|,{ou,null,null,null,au,tidak passive
54,ٱذْكُرُوا@,{*okuruwA@,,وا@,|*kr|wA@,{ou,null,null,null,au,tidak passive
55,ٱذْكُرُوا@,{*okuruwA@,,وا@,|*kr|wA@,{ou,null,null,null,au,tidak passive
56,ٱعْلَمُ,{Eolamu,,,|Elm|,{oa,null,null,null,au,tidak passive
57,تُحْشَرُونَ,tuHo$aruwna,,ونَ,|uoa|wna,tH$,null,null,null,au,passive
58,ٱدْخُلُوا@,{doxuluwA@,,وا@,|dxl|wA@,{ou,null,null,null,au,tidak passive
59,زَلَلْ,zalalo,,,|aao|,zll,null,null,null,au,passive
60,ٱعْلَمُ,{Eolamu,,,|Elm|,{oa,null,null,null,au,tidak passive
61,تَنكِحُوا@,tankiHuwA@,تَ,وا@,ta|null|wA@,null,null,null,null,au,tidak passive
62,ٱعْلَمُ,{Eolamu,,,|Elm|,{oa,null,null,null,au,tidak passive
63,تَنكِحَ,tankiHa,تَ,,ta|null|,null,null,null,null,au,tidak passive
64,ٱذْكُرُوا@,{*okuruwA@,,وا@,|*kr|wA@,{ou,null,null,null,au,tidak passive
65,ٱعْلَمُ,{Eolamu,,,|Elm|,{oa,null,null,null,au,tidak passive
66,ٱعْلَمُ,{Eolamu,,,|Elm|,{oa,null,null,null,au,tidak passive
67,ٱعْلَمُ,{Eolamu,,,|Elm|,{oa,null,null,null,au,tidak passive
68,ٱعْلَمُ,{Eolamu,,,|Elm|,{oa,null,null,null,au,tidak passive
69,ٱذْكُرُوا@,{*okuruwA@,,وا@,|*kr|wA@,{ou,null,null,null,au,tidak passive
70,ٱعْلَمُ,{Eolamu,,,|Elm|,{oa,null,null,null,au,tidak passive
71,يَبْص:ُطُ,yaboS:uTu,يَ,,ya|o:T|,bSu,null,null,null,au,passive
72,تُرْجَعُونَ,turojaEuwna,,ونَ,|uoa|wna,trj,null,null,null,au,passive
73,ٱبْعَثْ,{boEavo,,,|bEv|,{oa,null,null,null,au,tidak passive
74,ٱنصُرْنَا,{nSuronaA,,نَا,|nuo|naA,{Sr,null,null,null,au,tidak passive
